estado,cidade,latitude,longitude,consumo_mwh,populacao
DF,Brasília,-15.7795,-47.9297,,
GO,Abadia de Goiás,-16.7573,-49.4412,,
GO,Abadiânia,-16.197,-48.7057,,
GO,Acreúna,-17.396,-50.3749,,
GO,Adelândia,-16.4127,-50.1657,,
GO,Água Fria de Goiás,-14.9778,-47.7823,,
GO,Água Limpa,-18.0771,-48.7603,,
GO,Águas Lindas de Goiás,-15.7617,-48.2816,,
GO,Alexânia,-16.0834,-48.5076,,
GO,Aloândia,-17.7292,-49.4769,,
GO,Alto Horizonte,-14.1978,-49.3378,,
GO,Alto Paraíso de Goiás,-14.1305,-47.51,,
GO,Alvorada do Norte,-14.4797,-46.491,,
GO,Amaralina,-13.9236,-49.2962,,
GO,Americano do Brasil,-16.2514,-49.9831,,
GO,Amorinópolis,-16.6151,-51.0919,,
GO,Anápolis,-16.3281,-48.953,,
GO,Anhanguera,-18.3339,-48.2204,,
GO,Anicuns,-16.4642,-49.9617,,
GO,Aparecida de Goiânia,-16.8198,-49.2469,,
GO,Aparecida do Rio Doce,-18.2941,-51.1516,,
GO,Aporé,-18.9607,-51.9232,,
GO,Araçu,-16.3563,-49.6804,,
GO,Aragarças,-15.8955,-52.2372,,
GO,Aragoiânia,-16.9087,-49.4476,,
GO,Araguapaz,-15.0909,-50.6315,,
GO,Arenópolis,-16.3837,-51.5563,,
GO,Aruanã,-14.9166,-51.075,,
GO,Aurilândia,-16.6773,-50.4641,,
GO,Avelinópolis,-16.4672,-49.7579,,
GO,Baliza,-16.1966,-52.5393,,
GO,Barro Alto,-14.9658,-48.9086,,
GO,Bela Vista de Goiás,-16.9693,-48.9513,,
GO,Bom Jardim de Goiás,-16.2063,-52.1728,,
GO,Bom Jesus de Goiás,-18.2173,-49.74,,
GO,Bonfinópolis,-16.6173,-48.9616,,
GO,Bonópolis,-13.6329,-49.8106,,
GO,Brazabrantes,-16.4281,-49.3863,,
GO,Britânia,-15.2428,-51.1602,,
GO,Buriti Alegre,-18.1378,-49.0404,,
GO,Buriti de Goiás,-16.1792,-50.4302,,
GO,Buritinópolis,-14.4772,-46.4076,,
GO,Cabeceiras,-15.7995,-46.9265,,
GO,Cachoeira Alta,-18.7618,-50.9432,,
GO,Cachoeira de Goiás,-16.6635,-50.646,,
GO,Cachoeira Dourada,-18.4859,-49.4766,,
